player,salary,salary adjusted,season,position
Lee Nailon,835810,1107811,2005,PF
Linas Kleiza,879360,1165534,2005,PF
Lindsey Hunter,1760000,2332764,2005,PG
Linton Johnson,719373,953481,2005,SF
Lionel Chalmers,682050,904012,2005,PG
Lonny Baxter,745248,987777,2005,C
Loren Woods,780000,1033838,2005,C
Lorenzen Wright,7700000,10205845,2005,C
Louis Williams,450000,596445,2005,PG
Luke Jackson,1955160,2591436,2005,SF
Luke Ridnour,1638000,2171061,2005,PG
Luke Walton,1250000,1656793,2005,SF
Luol Deng,2443920,3239255,2005,SF
Luther Head,975600,1293093,2005,SG
Maciej Lampe,900000,1192891,2005,C
Malik Allen,1670000,2213475,2005,PF
Malik Rose,6008750,7964204,2005,PF
Manu Ginobili,7428937,9846569,2005,SG
Marc Jackson,4550000,6030726,2005,C
Marcus Banks,1724280,2285420,2005,PG
Marcus Camby,9150000,12127725,2005,C
Mario Kasun,682050,904012,2005,C
Mark Blount,5515875,7310930,2005,C
Mark Madsen,2000000,2650868,2005,C
Marko Jaric,5000000,6627172,2005,PG
Marquis Daniels,5393300,7148465,2005,SG
Martell Webster,2586120,3427732,2005,SF
Martynas Andriuskevicius,398762,528532,2005,C
Marvin Williams,3883560,5147404,2005,PF
Mateen Cleaves,305784,405296,2005,PG
Matt Barnes,683862,906413,2005,PF
Matt Bonner,2000000,2650868,2005,PF
Matt Carroll,1100000,1457977,2005,SG
Matt Harpring,5020000,6653680,2005,SF
Matt Walsh,38904,51564,2005,SG
Maurice Evans,1500000,1988151,2005,SG
Maurice Taylor,9100000,12061453,2005,PF
Maurice Williams,1760000,2332764,2005,PG
Mehmet Okur,8250000,10934834,2005,PF
Melvin Ely,2401027,3182403,2005,PF
Melvin Sanders,24315,32227,2005,SG
Metta World Peace,6842105,9068761,2005,SF
Michael Bradley,819550,1086259,2005,PF
Michael Doleac,2640000,3499146,2005,C
Michael Finley,18612500,24669648,2005,SG
Michael Olowokandi,5900400,7820593,2005,C
Michael Redd,12000000,15905213,2005,SG
Michael Ruffin,1670000,2213475,2005,C
Mickael Pietrus,1910520,2532269,2005,SF
Mike Bibby,11500000,15242496,2005,PG
Mike Dunleavy,4506261,5972753,2005,SF
Mike James,3410000,4519731,2005,PG
Mike Miller,6750000,8946682,2005,SG
Mike Sweetney,2116920,2805838,2005,C
Mike Wilks,745248,987777,2005,PG
Mikki Moore,1020000,1351943,2005,C
Milt Palacio,1400000,1855608,2005,PG
Monta Ellis,448762,594804,2005,SG
Moochie Norris,4200000,5566824,2005,PG
Morris Peterson,4550000,6030726,2005,SG
Nate Robinson,1102680,1461530,2005,PG
Nazr Mohammed,5500000,7289889,2005,C
Ndudi Ebi,964320,1278142,2005,PF
Nenad Krstic,1010040,1338741,2005,PF
Nenê,3039889,4029173,2005,PF
Nick Collison,1815000,2405663,2005,PF
Nick Van Exel,1138500,1509007,2005,PG
Nikoloz Tskitishvili,745248,987777,2005,SF
Orien Greene,398762,528532,2005,PG
Othella Harrington,3500000,4639020,2005,C
Pape Sow,641748,850594,2005,C
Pat Burke,750000,994075,2005,C
Pat Garrity,3231250,4282810,2005,PF
Pau Gasol,10993000,14570500,2005,PF
Paul Pierce,13843156,18348195,2005,SF
Pavel Podkolzin,1141560,1513062,2005,C
Peter John Ramos,660000,874786,2005,C
PJ Brown,8000000,10603475,2005,PF
Predrag Stojakovic,7500000,9940758,2005,SF
Primoz Brezec,2750000,3644944,2005,C
Quentin Richardson,6940000,9198515,2005,SF
Quinton Ross,700000,927804,2005,SF
Qyntel Woods,599834,795040,2005,SF
Radoslav Nesterovic,6720000,8906919,2005,C
Raef LaFrentz,10623288,14080471,2005,PF
Rafael Araujo,2238960,2967594,2005,C
Rafer Alston,3850000,5102922,2005,PG
Raja Bell,4250000,5633096,2005,SG
Randy Holcomb,52033,68966,2005,SF
Rashad McCants,1538400,2039048,2005,SG
Rashard Lewis,8571429,11360867,2005,SF
Rasheed Wallace,10860000,14394218,2005,PF
Rasual Butler,1300000,1723064,2005,SF
Raul Lopez,1744313,2311972,2005,PG
Rawle Marshall,398762,528532,2005,SF
Ray Allen,13223140,17526405,2005,SG
Raymond Felton,2847360,3773989,2005,PG
Reece Gaines,1556160,2062588,2005,PG
Reggie Evans,1100000,1457977,2005,PF
Reggie Miller,6000000,7952606,2005,SG
Richard Hamilton,8625000,11431872,2005,SG
Richard Jefferson,10200000,13519431,2005,SF
Richie Frahm,719373,953481,2005,SG
Rick Brunson,1029873,1365029,2005,PG
Ricky Davis,5909800,7833052,2005,SG
Robert Horry,3000000,3976303,2005,PF
Robert Swift,1764480,2338702,2005,C
Robert Whaley,398762,528532,2005,C
Romain Sato,682051,904013,2005,SG
Ron Mercer,1760000,2332764,2005,SG
Ronald Dupree,719373,953481,2005,SF
Ronald Murray,895248,1186592,2005,SG
Ronnie Price,398762,528532,2005,PG
Royal Ivey,641748,850594,2005,PG
Ruben Patterson,6353200,8420750,2005,SF
Ryan Bowen,900498,1193551,2005,SF
Ryan Gomes,428762,568295,2005,PF
Salim Stoudamire,675000,894668,2005,SG
Sam Cassell,6875000,9112361,2005,PG
Samaki Walker,364223,482753,2005,PF
Samuel Dalembert,8470000,11226429,2005,C
Sarunas Jasikevicius,4000000,5301737,2005,PG
Sasha Vujacic,910440,1206728,2005,PG
Scot Pollard,6274937,8317017,2005,C
Scott Padgett,1670000,2213475,2005,PF
Sean Banks,150751,199810,2005,SF
Sean Marks,835810,1107811,2005,PF
Sean May,1619280,2146249,2005,PF
Sebastian Telfair,1676280,2221799,2005,PG
Sergey Monya,1016400,1347171,2005,SF
Shandon Anderson,8935000,11842756,2005,SF
Shane Battier,4903000,6498605,2005,SF
Shaquille O'Neal,20000000,26508688,2005,C
Shareef Abdur-Rahim,5000000,6627172,2005,PF
Sharrod Ford,116711,154692,2005,PF
Shaun Livingston,3254880,4314130,2005,PG
Shavlik Randolph,398762,528532,2005,PF
Shawn Bradley,4500000,5964455,2005,C
Shawn Marion,13700000,18158451,2005,PF
Smush Parker,745248,987777,2005,PG
Speedy Claxton,3600000,4771564,2005,PG
Stacey Augmon,1138500,1509007,2005,SF
Stanislav Medvedenko,3000000,3976303,2005,PF
Stephen Graham,48630,64455,2005,SG
Stephen Jackson,5610000,7435687,2005,SG
Stephon Marbury,16453125,21807538,2005,PG
Steve Blake,1000000,1325434,2005,PG
Steve Francis,13700000,18158451,2005,PG
Steve Nash,9625000,12757306,2005,PG
Steven Hunter,2800000,3711216,2005,C
Stromile Swift,5000000,6627172,2005,C
Tariq Abdul-Wahad,3656250,4846119,2005,SG
Tayshaun Prince,1763115,2336893,2005,SF
Terence Morris,835810,1107811,2005,SF
Theo Ratliff,11666666,15463401,2005,C
Tim Duncan,15845156,21001715,2005,PF
Tim Thomas,13975000,18522946,2005,PF
TJ Ford,2303040,3052528,2005,PG
Todd MacCulloch,6353200,8420750,2005,C
Toni Kukoc,2000000,2650868,2005,PF
Tony Allen,969696,1285268,2005,PG
Tony Battie,5200000,6892259,2005,C
Tony Delk,3375000,4473341,2005,PG
Tony Parker,8400000,11133649,2005,PG
Tracy McGrady,15694250,20801699,2005,SF
Travis Diener,398762,528532,2005,PG
Travis Outlaw,1082160,1434332,2005,PF
Trenton Hassell,4350000,5765639,2005,SG
Trevor Ariza,682051,904013,2005,SF
Troy Bell,1478280,1959363,2005,PG
Troy Hudson,5253000,6962507,2005,PG
Troy Murphy,7365079,9761929,2005,PF
Tyronn Lue,3500000,4639020,2005,PG
Tyson Chandler,9000000,11928910,2005,C
Udonis Haslem,5000000,6627172,2005,PF
Viktor Khryapa,1095960,1452623,2005,SF
Vin Baker,9183333,12171905,2005,C
Vince Carter,13843156,18348195,2005,SG
Vitaly Potapenko,3320000,4400442,2005,C
Vlade Divac,2000000,2650868,2005,C
Vladimir Radmanovic,3166155,4196530,2005,PF
Von Wafer,398762,528532,2005,SG
Voshon Lenard,3520000,4665529,2005,SG
Wally Szczerbiak,10000000,13254344,2005,SF
Walter McCarty,1035000,1371824,2005,SF
Wayne Simien,867720,1150105,2005,PF
Wesley Person,1760000,2332764,2005,SG
Yao Ming,5594906,7415681,2005,C
Yaroslav Korolev,1704480,2259176,2005,SF
Zach Randolph,10666667,14137967,2005,PF
Zarko Cabarkapa,1404360,1861387,2005,PF
Zaza Pachulia,4000000,5301737,2005,C
Zeljko Rebraca,3000000,3976303,2005,C
Zendon Hamilton,329138,436250,2005,C
Zoran Planinic,1127280,1494135,2005,PG
Zydrunas Ilgauskas,8740000,11584297,2005,C
